Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%,Year,Month,Remitter Bank Clean,Bank_Type,TD_Percent,BD_Percent,Approved_Percent
8,Bank of India,220851,0.9628,0.0366,0.0006,2025,june,bank of india,Public Sector,0.06,3.66,96.28
9,Kotak Mahindra Bank,193235,0.9435,0.0559999999999999,0.0004,2025,june,kotak mahindra bank,Private Sector,0.04,5.59999999999999,94.35
10,Canara Bank,144324,0.9525,0.0469,0.0006,2025,june,canara bank,Public Sector,0.06,4.6899999999999995,95.25
11,Central Bank Of India,90546,0.9301,0.0692,0.0007,2025,june,central bank of india,Public Sector,0.06999999999999999,6.92,93.01
12,IDBI Bank Limited,79374,0.9867,0.0125,0.0008,2025,june,idbi bank limited,Public Sector,0.08,1.25,98.67
13,IDFC FIRST Bank,68765,0.9459,0.0536,0.0005,2025,june,idfc first bank,Private Sector,0.05,5.36,94.59
14,Indian Bank,66300,0.9459,0.0537,0.0005,2025,june,indian bank,Public Sector,0.05,5.37,94.59
15,INDUSIND BANK,61583,0.9476,0.0461,0.0063,2025,june,indusind bank,Private Sector,0.63,4.61,94.76
16,Yes Bank Ltd,54610,0.9232,0.0763,0.0006,2025,june,yes bank ltd,Other/Cooperative,0.06,7.630000000000001,92.32000000000001
17,UCO Bank,50278,0.9163,0.083,0.0007,2025,june,uco bank,Public Sector,0.06999999999999999,8.3,91.63
18,AU small Finance Bank,44236,0.9514,0.048,0.0006,2025,june,au small finance bank,Other/Cooperative,0.06,4.8,95.14
19,Bank of Maharashtra,35263,0.9534,0.046,0.0005,2025,june,bank of maharashtra,Public Sector,0.05,4.6,95.34
20,Indian Overseas Bank,32636,0.9474,0.0519,0.0007,2025,june,indian overseas bank,Public Sector,0.06999999999999999,5.19,94.74000000000001
21,The Mehsana Urban Co-Operative Bank Ltd.,26966,0.9564,0.0421,0.0016,2025,june,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.16,4.21,95.64
22,Rajkot Nagrik Sahakari Bank Ltd.,26120,0.969,0.0302999999999999,0.0007,2025,june,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.06999999999999999,3.02999999999999,96.89999999999999
23,Federal Bank,22894,0.9286,0.0708,0.0006,2025,june,federal bank,Private Sector,0.06,7.08,92.86
24,Bandhan Bank,21042,0.9259,0.0733,0.0008,2025,june,bandhan bank,Private Sector,0.08,7.33,92.58999999999999
25,Karnataka Bank,14241,0.9295,0.0694,0.0011,2025,june,karnataka bank,Private Sector,0.11,6.94,92.95
26,Saraswat Bank,12577,0.9509,0.0473,0.0017,2025,june,saraswat bank,Other/Cooperative,0.16999999999999998,4.73,95.09
27,Standard Chartered,10210,0.9573,0.0421999999999999,0.0005,2025,june,standard chartered,Private Sector,0.05,4.21999999999999,95.73
28,Equitas Small Finance Bank,9771,0.7568,0.0697,0.1735,2025,june,equitas small finance bank,Other/Cooperative,17.349999999999998,6.97,75.68
29,The Kalupur Commercial Co-operative Bank Ltd,9547,0.9078,0.0521999999999999,0.04,2025,june,the kalupur commercial co-operative bank ltd,Other/Cooperative,4.0,5.21999999999999,90.78
30,Punjab and Sind Bank,8782,0.9457,0.0533999999999999,0.0009,2025,june,punjab and sind bank,Public Sector,0.09,5.33999999999999,94.57
31,Karur Vysya Bank,8601,0.8943000000000001,0.105,0.0007,2025,june,karur vysya bank,Private Sector,0.06999999999999999,10.5,89.43
32,South Indian Bank,7343,0.9349,0.0651,0.0,2025,june,south indian bank,Private Sector,0.0,6.510000000000001,93.49
33,DCB Bank Ltd,7057,0.9572,0.0421,0.0007,2025,june,dcb bank ltd,Other/Cooperative,0.06999999999999999,4.21,95.72
34,Tamilnad Mercantile Bank,6347,0.9452,0.0537,0.0011,2025,june,tamilnad mercantile bank,Other/Cooperative,0.11,5.37,94.52000000000001
35,City Union Bank,5795,0.9034,0.0958,0.0009,2025,june,city union bank,Private Sector,0.09,9.58,90.34
36,RBL Ltd,5557,0.9066,0.0911,0.0023,2025,june,rbl ltd,Other/Cooperative,0.22999999999999998,9.11,90.66
37,Utkarsh Small Finance Bank Ltd,4922,0.9498,0.0248,0.0254,2025,june,utkarsh small finance bank ltd,Other/Cooperative,2.54,2.48,94.98
38,Surat People Cooperative Bank,4891,0.927,0.0552,0.0178,2025,june,surat people cooperative bank,Other/Cooperative,1.78,5.52,92.7
39,DBS Bank India Limited,4600,0.992,0.0072,0.0009,2025,june,dbs bank india limited,Other/Cooperative,0.09,0.72,99.2
40,HSBC,4510,0.959,0.0093,0.0317,2025,june,hsbc,Other/Cooperative,3.17,0.9299999999999999,95.89999999999999
41,Svc co-operative bank ltd,3184,0.9585,0.0374,0.0041,2025,june,svc co-operative bank ltd,Other/Cooperative,0.41000000000000003,3.74,95.85000000000001
42,Jammu and Kashmir Bank,2448,0.9792,0.0196,0.0012,2025,june,jammu and kashmir bank,Other/Cooperative,0.12,1.96,97.92
43,TJSB Sahakari Bank Ltd,2422,0.9067,0.0933,0.0,2025,june,tjsb sahakari bank ltd,Other/Cooperative,0.0,9.33,90.67
44,The Ahmedabad Mercantile Co- op. Bank Ltd,2102,0.9829,0.0167,0.0005,2025,june,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,0.05,1.67,98.29
45,Dhanlaxmi Bank Ltd,1020,0.9422,0.0578,0.0,2025,june,dhanlaxmi bank ltd,Other/Cooperative,0.0,5.779999999999999,94.22
46,Nutan Nagrik Sahakari Bank,1015,0.9606,0.0335,0.0059,2025,june,nutan nagrik sahakari bank,Other/Cooperative,0.59,3.35,96.06
47,Janata Sahakari Bank Ltd. Pune,965,0.9212,0.0777,0.001,2025,june,janata sahakari bank ltd. pune,Other/Cooperative,0.1,7.7700000000000005,92.12
48,CSB Bank Ltd,478,0.9707,0.0293,0.0,2025,june,csb bank ltd,Other/Cooperative,0.0,2.93,97.07000000000001
49,Jana Small Finance Bank,431,0.8005,0.1994999999999999,0.0,2025,june,jana small finance bank,Other/Cooperative,0.0,19.94999999999999,80.05
50,GP PARSIK BANK,359,0.9833,0.0167,0.0,2025,june,gp parsik bank,Other/Cooperative,0.0,1.67,98.33
51,Deutsche Bank,109,0.9541,0.0,0.0458999999999999,2025,june,deutsche bank,Other/Cooperative,4.58999999999999,0.0,95.41
1,State Bank of India,4940735,0.9629,0.0369,0.0002,2025,september,state bank of india,Public Sector,0.02,3.6900000000000004,96.28999999999999
2,HDFC Bank Ltd.,2718372,0.9679,0.0106,0.0215,2025,september,hdfc bank ltd.,Other/Cooperative,2.15,1.06,96.78999999999999
3,Bank of Baroda,1776111,0.9476,0.052,0.0004,2025,september,bank of baroda,Public Sector,0.04,5.2,94.76
4,ICICI Bank Ltd.,1238943,0.9461,0.0538999999999999,0.0,2025,september,icici bank ltd.,Other/Cooperative,0.0,5.38999999999999,94.61
5,Axis Bank Ltd.,1115851,0.9721,0.0274,0.0004,2025,september,axis bank ltd.,Other/Cooperative,0.04,2.74,97.21
6,Punjab National Bank,952961,0.9409,0.0587,0.0005,2025,september,punjab national bank,Public Sector,0.05,5.87,94.08999999999999
7,Union Bank of India,739936,0.9697,0.0293,0.001,2025,september,union bank of india,Public Sector,0.1,2.93,96.97
8,Bank Of India,722340,0.9725,0.0274,0.0001,2025,september,bank of india,Public Sector,0.01,2.74,97.25
9,Kotak Mahindra Bank,646774,0.9613,0.0385999999999999,0.0001,2025,september,kotak mahindra bank,Private Sector,0.01,3.8599999999999897,96.13000000000001
10,Canara Bank,463327,0.9653,0.0346,0.0001,2025,september,canara bank,Public Sector,0.01,3.46,96.53
11,Central Bank of India,303910,0.9661,0.0335,0.0005,2025,september,central bank of india,Public Sector,0.05,3.35,96.61
12,IDBI Bank Ltd.,249349,0.9901,0.0098,0.0001,2025,september,idbi bank ltd.,Other/Cooperative,0.01,0.98,99.00999999999999
13,Indian Bank,215928,0.9629,0.037,0.0001,2025,september,indian bank,Public Sector,0.01,3.6999999999999997,96.28999999999999
14,IDFC Bank Ltd.,194598,0.9602,0.0397,0.0001,2025,september,idfc bank ltd.,Other/Cooperative,0.01,3.9699999999999998,96.02000000000001
15,Indusind Bank Ltd.,176211,0.9583,0.0406,0.0011,2025,september,indusind bank ltd.,Other/Cooperative,0.11,4.06,95.83
16,UCO Bank,171154,0.9172,0.0828,0.0,2025,september,uco bank,Public Sector,0.0,8.28,91.72
17,Yes Bank Ltd.,155886,0.914,0.0859,0.0001,2025,september,yes bank ltd.,Other/Cooperative,0.01,8.59,91.4
18,AU Small Finance Bank,126062,0.9254,0.0745,0.0001,2025,september,au small finance bank,Other/Cooperative,0.01,7.449999999999999,92.54
19,Bank of Maharashtra,121387,0.9664,0.0335,0.0001,2025,september,bank of maharashtra,Public Sector,0.01,3.35,96.64
20,Mehsana Urban Co-operative Bank,103328,0.9717,0.0282,0.0001,2025,september,mehsana urban co-operative bank,Other/Cooperative,0.01,2.82,97.17
21,Indian Overseas Bank,98506,0.9838,0.016,0.0001,2025,september,indian overseas bank,Public Sector,0.01,1.6,98.38
22,Rajkot Nagarik Sahakari Bank Ltd,82091,0.9745,0.0254,0.0001,2025,september,rajkot nagarik sahakari bank ltd,Other/Cooperative,0.01,2.54,97.45
23,Federal Bank Ltd.,68101,0.9536,0.0463,0.0001,2025,september,federal bank ltd.,Other/Cooperative,0.01,4.63,95.36
24,Bandhan Bank limited,60972,0.9398,0.0601,0.0001,2025,september,bandhan bank limited,Other/Cooperative,0.01,6.01,93.97999999999999
25,Karnataka Bank,41707,0.959,0.0408,0.0002,2025,september,karnataka bank,Private Sector,0.02,4.08,95.89999999999999
26,Saraswat Co-operative Bank,36750,0.969,0.0304,0.0005,2025,september,saraswat co-operative bank,Other/Cooperative,0.05,3.04,96.89999999999999
27,The Kalupur Commercial Co-Op Bank Ltd,33334,0.9623,0.0301,0.0076,2025,september,the kalupur commercial co-op bank ltd,Other/Cooperative,0.76,3.01,96.23
28,Punjab and Sind Bank,30047,0.9665,0.0329,0.0006,2025,september,punjab and sind bank,Public Sector,0.06,3.29,96.65
29,Standard Chartered Bank,26024,0.97,0.03,0.0001,2025,september,standard chartered bank,Other/Cooperative,0.01,3.0,97.0
30,Equitas Small Finance Bank,24355,0.9391,0.0608,0.0002,2025,september,equitas small finance bank,Other/Cooperative,0.02,6.08,93.91000000000001
31,Karur Vysya Bank,22602,0.9267,0.0733,0.0,2025,september,karur vysya bank,Private Sector,0.0,7.33,92.67
32,DCB Bank Ltd,21624,0.9715,0.0283,0.0002,2025,september,dcb bank ltd,Other/Cooperative,0.02,2.83,97.15
33,The South Indian Bank Limited,20208,0.948,0.0519,0.0001,2025,september,the south indian bank limited,Other/Cooperative,0.01,5.19,94.8
34,Tamilnad Mercantile Bank Limited,18202,0.9684,0.0315,0.0001,2025,september,tamilnad mercantile bank limited,Other/Cooperative,0.01,3.15,96.84
35,RBL Bank Ltd.,16037,0.9231,0.0767,0.0002,2025,september,rbl bank ltd.,Other/Cooperative,0.02,7.670000000000001,92.31
36,City Union Bank,14534,0.9392,0.0608,0.0001,2025,september,city union bank,Private Sector,0.01,6.08,93.92
37,HSBC Bank,13439,0.96,0.0092,0.0308999999999999,2025,september,hsbc bank,Other/Cooperative,3.08999999999999,0.9199999999999999,96.0
38,Utkarsh Small Finance Bank Limited,13002,0.9385,0.0286,0.0327999999999999,2025,september,utkarsh small finance bank limited,Other/Cooperative,3.27999999999999,2.86,93.85
39,DBS Bank India Limited,12628,0.9911,0.0089,0.0001,2025,september,dbs bank india limited,Other/Cooperative,0.01,0.89,99.11
40,The Shamrao Vithal Cooperative Bank Ltd,9042,0.9721,0.0253,0.0025,2025,september,the shamrao vithal cooperative bank ltd,Other/Cooperative,0.25,2.53,97.21
41,The Jammu & Kashmir Bank Limited,8036,0.9861,0.0138,0.0001,2025,september,the jammu & kashmir bank limited,Other/Cooperative,0.01,1.38,98.61
42,The Surat Peoples Coop Bank Ltd,7635,0.9443,0.0554,0.0003,2025,september,the surat peoples coop bank ltd,Other/Cooperative,0.03,5.54,94.43
43,The Ahmedabad Mercantile Cooperative Bank Ltd,6951,0.9911,0.0089,0.0,2025,september,the ahmedabad mercantile cooperative bank ltd,Other/Cooperative,0.0,0.89,99.11
44,TJSB Sahakari Bank Limited,6900,0.9222,0.0777,0.0001,2025,september,tjsb sahakari bank limited,Other/Cooperative,0.01,7.7700000000000005,92.22
45,Nutan Nagarik Sahakari Bank Ltd.,3217,0.9736,0.0260999999999999,0.0003,2025,september,nutan nagarik sahakari bank ltd.,Other/Cooperative,0.03,2.60999999999999,97.36
46,Janata Sahakari Bank,2622,0.9497,0.0503,0.0,2025,september,janata sahakari bank,Other/Cooperative,0.0,5.029999999999999,94.97
47,Dhanalakshmi Bank,2589,0.9517,0.0483,0.0,2025,september,dhanalakshmi bank,Other/Cooperative,0.0,4.83,95.17
48,Jana Small Finance Bank Ltd,2034,0.7817000000000001,0.2178,0.0005,2025,september,jana small finance bank ltd,Other/Cooperative,0.05,21.78,78.17
49,CSB Bank Limited,1343,0.9881,0.0118999999999999,0.0,2025,september,csb bank limited,Other/Cooperative,0.0,1.18999999999999,98.81
50,G P Parsik Sahakari Bank Ltd,830,0.3193,0.6807,0.0,2025,september,g p parsik sahakari bank ltd,Other/Cooperative,0.0,68.07,31.929999999999996
51,Deutsche Bank Ltd.,291,0.9244,0.0206,0.055,2025,september,deutsche bank ltd.,Other/Cooperative,5.5,2.06,92.44
1,State Bank Of India,5916487,0.9638,0.036,0.0002,2025,january,state bank of india,Public Sector,0.02,3.5999999999999996,96.38
2,HDFC BANK LTD,3060032,0.9708,0.0287,0.0006,2025,january,hdfc bank ltd,Other/Cooperative,0.06,2.87,97.08
3,Bank of Baroda,2269104,0.9487,0.0356,0.0157,2025,january,bank of baroda,Public Sector,1.5699999999999998,3.56,94.87
4,Axis Bank Ltd.,1292472,0.9718,0.0277,0.0004,2025,january,axis bank ltd.,Other/Cooperative,0.04,2.77,97.18
5,ICICI Bank,1158652,0.9679,0.031,0.0011,2025,january,icici bank,Private Sector,0.11,3.1,96.78999999999999
6,Punjab National Bank,1056419,0.9673,0.0325,0.0002,2025,january,punjab national bank,Public Sector,0.02,3.25,96.73
7,Union Bank of India,880654,0.9421,0.0573,0.0006,2025,january,union bank of india,Public Sector,0.06,5.7299999999999995,94.21000000000001
8,Kotak Mahindra Bank,771859,0.9629,0.037,0.0001,2025,january,kotak mahindra bank,Private Sector,0.01,3.6999999999999997,96.28999999999999
9,Bank of India,854560,0.9715,0.0283,0.0003,2025,january,bank of india,Public Sector,0.03,2.83,97.15
10,Canara Bank,554642,0.9659,0.0339,0.0002,2025,january,canara bank,Public Sector,0.02,3.39,96.59
11,IDBI Bank Limited,297578,0.964,0.0316,0.0044,2025,january,idbi bank limited,Public Sector,0.44,3.16,96.39999999999999
12,Central Bank Of India,345246,0.9684,0.0207,0.0109,2025,january,central bank of india,Public Sector,1.09,2.07,96.84
13,Indian Bank,253637,0.938,0.0617999999999999,0.0002,2025,january,indian bank,Public Sector,0.02,6.17999999999999,93.8
14,IDFC FIRST Bank,198280,0.9606,0.0393,0.0002,2025,january,idfc first bank,Private Sector,0.02,3.93,96.06
15,INDUSIND BANK,191655,0.9667,0.0327999999999999,0.0005,2025,january,indusind bank,Private Sector,0.05,3.27999999999999,96.67
16,UCO Bank,189744,0.938,0.0619,0.0002,2025,january,uco bank,Public Sector,0.02,6.1899999999999995,93.8
17,Yes Bank Ltd,162745,0.94,0.0598,0.0002,2025,january,yes bank ltd,Other/Cooperative,0.02,5.9799999999999995,94.0
18,Bank of Maharashtra,152279,0.9671,0.0327999999999999,0.0001,2025,january,bank of maharashtra,Public Sector,0.01,3.27999999999999,96.71
19,Federal Bank,92587,0.9515,0.0484,0.0001,2025,january,federal bank,Private Sector,0.01,4.84,95.15
20,Indian Overseas Bank,120016,0.9669,0.033,0.0001,2025,january,indian overseas bank,Public Sector,0.01,3.3000000000000003,96.69
21,AU small Finance Bank,132761,0.9615,0.0383,0.0002,2025,january,au small finance bank,Other/Cooperative,0.02,3.83,96.15
22,The Mehsana Urban Co-Operative Bank Ltd.,110417,0.9435,0.0556,0.0009,2025,january,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.09,5.56,94.35
23,Bandhan Bank,67905,0.9017,0.098,0.0002,2025,january,bandhan bank,Private Sector,0.02,9.8,90.16999999999999
24,Karnataka Bank,56455,0.9513,0.0484,0.0002,2025,january,karnataka bank,Private Sector,0.02,4.84,95.13000000000001
25,The Kalupur Commercial Co-operative Bank Ltd,36666,0.969,0.0302999999999999,0.0007,2025,january,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.06999999999999999,3.02999999999999,96.89999999999999
26,Rajkot Nagrik Sahakari Bank Ltd.,77104,0.9703,0.0293,0.0004,2025,january,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.04,2.93,97.03
27,Saraswat Bank,45312,0.9597,0.0374,0.0028,2025,january,saraswat bank,Other/Cooperative,0.27999999999999997,3.74,95.97
28,South Indian Bank,24517,0.9511,0.0487999999999999,0.0,2025,january,south indian bank,Private Sector,0.0,4.87999999999999,95.11
29,Karur Vysya Bank,28592,0.936,0.0639,0.0001,2025,january,karur vysya bank,Private Sector,0.01,6.39,93.60000000000001
30,Standard Chartered,34910,0.9704,0.0294,0.0002,2025,january,standard chartered,Private Sector,0.02,2.94,97.04
31,Equitas Small Finance Bank,27890,0.9715,0.0283999999999999,0.0001,2025,january,equitas small finance bank,Other/Cooperative,0.01,2.83999999999999,97.15
32,Punjab and Sind Bank,34960,0.9589,0.0356999999999999,0.0054,2025,january,punjab and sind bank,Public Sector,0.54,3.5699999999999896,95.89
33,Surat People Cooperative Bank,16496,0.9517,0.0472,0.001,2025,january,surat people cooperative bank,Other/Cooperative,0.1,4.72,95.17
34,RBL Ltd,18228,0.913,0.0868,0.0002,2025,january,rbl ltd,Other/Cooperative,0.02,8.68,91.3
35,DCB Bank Ltd,21186,0.9713,0.0286,0.0001,2025,january,dcb bank ltd,Other/Cooperative,0.01,2.86,97.13000000000001
36,DBS Bank India Limited,15809,0.9898,0.0099,0.0003,2025,january,dbs bank india limited,Other/Cooperative,0.03,0.9900000000000001,98.98
37,City Union Bank,16095,0.9521,0.0474,0.0005,2025,january,city union bank,Private Sector,0.05,4.74,95.21
38,Tamilnad Mercantile Bank,19260,0.9607,0.0389,0.0003,2025,january,tamilnad mercantile bank,Other/Cooperative,0.03,3.8899999999999997,96.07
39,Jammu and Kashmir Bank,11331,0.9371,0.0629,0.0,2025,january,jammu and kashmir bank,Other/Cooperative,0.0,6.29,93.71000000000001
40,Utkarsh Small Finance Bank Ltd,10929,0.9442,0.0272,0.0286,2025,january,utkarsh small finance bank ltd,Other/Cooperative,2.86,2.7199999999999998,94.42
41,HSBC,12903,0.9502,0.0099,0.0399,2025,january,hsbc,Other/Cooperative,3.9899999999999998,0.9900000000000001,95.02000000000001
42,TJSB Sahakari Bank Ltd,8671,0.952,0.0475999999999999,0.0003,2025,january,tjsb sahakari bank ltd,Other/Cooperative,0.03,4.75999999999999,95.19999999999999
43,Svc co-operative bank ltd,10587,0.973,0.0266,0.0004,2025,january,svc co-operative bank ltd,Other/Cooperative,0.04,2.6599999999999997,97.3
44,The Ahmedabad Mercantile Co- op. Bank Ltd,7005,0.989,0.011,0.0,2025,january,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,0.0,1.0999999999999999,98.9
45,Janata Sahakari Bank Ltd. Pune,3229,0.9433,0.0564,0.0003,2025,january,janata sahakari bank ltd. pune,Other/Cooperative,0.03,5.64,94.33
46,Nutan Nagrik Sahakari Bank,2971,0.9731,0.0269,0.0,2025,january,nutan nagrik sahakari bank,Other/Cooperative,0.0,2.69,97.31
47,Dhanlaxmi Bank Ltd,3037,0.9328,0.0672,0.0,2025,january,dhanlaxmi bank ltd,Other/Cooperative,0.0,6.72,93.28
48,GP PARSIK BANK,2127,0.9882,0.0113,0.0005,2025,january,gp parsik bank,Other/Cooperative,0.05,1.13,98.82
49,CSB Bank Ltd,2983,0.9604,0.0389,0.0007,2025,january,csb bank ltd,Other/Cooperative,0.06999999999999999,3.8899999999999997,96.04
50,Jana Small Finance Bank,704,0.1491,0.5909,0.2598999999999999,2025,january,jana small finance bank,Other/Cooperative,25.98999999999999,59.089999999999996,14.91
51,Deutsche Bank,469,0.9552,0.0,0.0448,2025,january,deutsche bank,Other/Cooperative,4.4799999999999995,0.0,95.52000000000001
1,State Bank Of India,15282,0.8981999999999999,0.1017,0.0001,2025,march,state bank of india,Public Sector,0.01,10.17,89.82
2,HDFC BANK LTD,12388,0.9171,0.0200999999999999,0.0628,2025,march,hdfc bank ltd,Other/Cooperative,6.279999999999999,2.00999999999999,91.71000000000001
3,Bank of Baroda,5437,0.9018,0.0971,0.0011,2025,march,bank of baroda,Public Sector,0.11,9.71,90.18
4,Axis Bank Ltd.,4562,0.9388,0.0607,0.0004,2025,march,axis bank ltd.,Other/Cooperative,0.04,6.069999999999999,93.88
5,ICICI Bank,4153,0.9355,0.0633,0.0012,2025,march,icici bank,Private Sector,0.12,6.329999999999999,93.55
6,Punjab National Bank,2841,0.8996999999999999,0.0996,0.0007,2025,march,punjab national bank,Public Sector,0.06999999999999999,9.959999999999999,89.97
7,Union Bank of India,2616,0.9232,0.0768,0.0,2025,march,union bank of india,Public Sector,0.0,7.68,92.32000000000001
8,Bank of India,2373,0.9469,0.0530999999999999,0.0,2025,march,bank of india,Public Sector,0.0,5.30999999999999,94.69
9,Kotak Mahindra Bank,2046,0.8719,0.1276,0.0005,2025,march,kotak mahindra bank,Private Sector,0.05,12.76,87.19
10,INDUSIND BANK,1506,0.9143,0.0843,0.0013,2025,march,indusind bank,Private Sector,0.13,8.43,91.43
11,Yes Bank Ltd,1495,0.9157,0.0843,0.0,2025,march,yes bank ltd,Other/Cooperative,0.0,8.43,91.57
12,Canara Bank,1490,0.9121,0.0879,0.0,2025,march,canara bank,Public Sector,0.0,8.790000000000001,91.21000000000001
13,AU small Finance Bank,1402,0.9536,0.0464,0.0,2025,march,au small finance bank,Other/Cooperative,0.0,4.64,95.36
14,IDFC FIRST Bank,1354,0.938,0.062,0.0,2025,march,idfc first bank,Private Sector,0.0,6.2,93.8
15,IDBI Bank Limited,914,0.9803,0.0197,0.0,2025,march,idbi bank limited,Public Sector,0.0,1.97,98.03
16,Central Bank Of India,731,0.9111,0.0876,0.0014,2025,march,central bank of india,Public Sector,0.13999999999999999,8.76,91.11
17,Indian Bank,699,0.8412000000000001,0.1588,0.0,2025,march,indian bank,Public Sector,0.0,15.879999999999999,84.12
18,UCO Bank,474,0.884,0.1159999999999999,0.0,2025,march,uco bank,Public Sector,0.0,11.599999999999989,88.4
19,Indian Overseas Bank,437,0.6979000000000001,0.3021,0.0,2025,march,indian overseas bank,Public Sector,0.0,30.209999999999997,69.79
20,Federal Bank,432,0.8148000000000001,0.1852,0.0,2025,march,federal bank,Private Sector,0.0,18.52,81.48
21,South Indian Bank,301,0.9169,0.0831,0.0,2025,march,south indian bank,Private Sector,0.0,8.309999999999999,91.69
22,Equitas Small Finance Bank,296,0.9054,0.0946,0.0,2025,march,equitas small finance bank,Other/Cooperative,0.0,9.46,90.53999999999999
23,Rajkot Nagrik Sahakari Bank Ltd.,272,0.9596,0.0404,0.0,2025,march,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.0,4.04,95.96000000000001
24,Bank of Maharashtra,269,0.8885,0.1115,0.0,2025,march,bank of maharashtra,Public Sector,0.0,11.15,88.85
25,Karnataka Bank,220,0.8726999999999999,0.1273,0.0,2025,march,karnataka bank,Private Sector,0.0,12.73,87.27
26,Bandhan Bank,206,0.8689,0.1311,0.0,2025,march,bandhan bank,Private Sector,0.0,13.11,86.89
27,The Mehsana Urban Co-Operative Bank Ltd.,193,0.9585,0.0415,0.0,2025,march,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.0,4.15,95.85000000000001
28,Karur Vysya Bank,183,0.8525,0.1475,0.0,2025,march,karur vysya bank,Private Sector,0.0,14.75,85.25
29,City Union Bank,155,0.8387,0.1613,0.0,2025,march,city union bank,Private Sector,0.0,16.13,83.87
30,RBL Ltd,141,0.7801,0.2198999999999999,0.0,2025,march,rbl ltd,Other/Cooperative,0.0,21.98999999999999,78.01
31,Standard Chartered Bank,135,0.9481,0.0519,0.0,2025,march,standard chartered bank,Other/Cooperative,0.0,5.19,94.81
32,DCB Bank Ltd,107,0.9626,0.0374,0.0,2025,march,dcb bank ltd,Other/Cooperative,0.0,3.74,96.26
33,Saraswat Bank,104,0.9231,0.0673,0.0096,2025,march,saraswat bank,Other/Cooperative,0.96,6.7299999999999995,92.31
34,The Kalupur Commercial Co-operative Bank Ltd,89,0.9213,0.0787,0.0,2025,march,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.0,7.870000000000001,92.13
35,Tamilnad Mercantile Bank,89,0.9213,0.0787,0.0,2025,march,tamilnad mercantile bank,Other/Cooperative,0.0,7.870000000000001,92.13
36,Punjab and Sind Bank,79,0.8861,0.1139,0.0,2025,march,punjab and sind bank,Public Sector,0.0,11.39,88.61
37,Surat People Cooperative Bank,73,0.9589,0.0411,0.0,2025,march,surat people cooperative bank,Other/Cooperative,0.0,4.109999999999999,95.89
38,DBS Bank India Limited,64,0.9375,0.0625,0.0,2025,march,dbs bank india limited,Other/Cooperative,0.0,6.25,93.75
39,Utkarsh Small Finance Bank Ltd,63,0.9683,0.0159,0.0159,2025,march,utkarsh small finance bank ltd,Other/Cooperative,1.59,1.59,96.83
40,HSBC Bank,52,0.9615,0.0,0.0385,2025,march,hsbc bank,Other/Cooperative,3.85,0.0,96.15
41,Svc co-operative bank ltd,30,1.0,0.0,0.0,2025,march,svc co-operative bank ltd,Other/Cooperative,0.0,0.0,100.0
42,Dhanlaxmi Bank Ltd,29,0.8276,0.1724,0.0,2025,march,dhanlaxmi bank ltd,Other/Cooperative,0.0,17.24,82.76
43,The Ahmedabad Mercantile Co- op. Bank Ltd,27,1.0,0.0,0.0,2025,march,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,0.0,0.0,100.0
44,Jammu and Kashmir Bank,26,0.6923,0.3077,0.0,2025,march,jammu and kashmir bank,Other/Cooperative,0.0,30.769999999999996,69.23
45,CSB Bank Ltd,25,1.0,0.0,0.0,2025,march,csb bank ltd,Other/Cooperative,0.0,0.0,100.0
46,Nutan Nagrik Sahakari Bank,21,1.0,0.0,0.0,2025,march,nutan nagrik sahakari bank,Other/Cooperative,0.0,0.0,100.0
47,TJSB Sahakari Bank Ltd,19,0.8421,0.1578999999999999,0.0,2025,march,tjsb sahakari bank ltd,Other/Cooperative,0.0,15.78999999999999,84.21
48,Janata Sahakari Bank Ltd. Pune,9,1.0,0.0,0.0,2025,march,janata sahakari bank ltd. pune,Other/Cooperative,0.0,0.0,100.0
49,GP PARSIK BANK,6,0.6667000000000001,0.3333,0.0,2025,march,gp parsik bank,Other/Cooperative,0.0,33.33,66.67
50,Jana Small Finance Bank,3,0.6667000000000001,0.3333,0.0,2025,march,jana small finance bank,Other/Cooperative,0.0,33.33,66.67
51,Deutsche Bank,3,1.0,0.0,0.0,2025,march,deutsche bank,Other/Cooperative,0.0,0.0,100.0
1,State Bank Of India,172186,0.9334,0.0666,0.0001,2025,february,state bank of india,Public Sector,0.01,6.660000000000001,93.34
2,HDFC BANK LTD,99886,0.9509,0.0423,0.0067,2025,february,hdfc bank ltd,Other/Cooperative,0.67,4.2299999999999995,95.09
3,Bank of Baroda,32882,0.9458,0.0538,0.0004,2025,february,bank of baroda,Public Sector,0.04,5.38,94.58
4,ICICI Bank,41616,0.9484,0.0512,0.0004,2025,february,icici bank,Private Sector,0.04,5.12,94.84
